Datum,UV-irradiation
2023-05-08,825.0
2023-05-09,853.1
2023-05-10,918.8
2023-05-11,846.1
2023-05-12,913.4
2023-05-13,844.7
2023-05-14,576.2
2023-05-15,436.8
2023-05-16,389.9
2023-05-17,436.4
2023-05-18,843.6
2023-05-19,916.1
2023-05-20,937.2
2023-05-21,700.9
2023-05-22,880.5
2023-05-23,445.8
2023-05-24,816.6
2023-05-25,919.4
2023-05-26,818.2
2023-05-27,923.2
2023-05-28,927.7
2023-05-29,761.3
2023-05-30,-999.0
2023-05-31,1022.5
2023-06-01,808.6
2023-06-02,915.4
2023-06-03,823.6
2023-06-04,921.1
2023-06-05,974.2
2023-06-06,1024.6
2023-06-07,1011.0
2023-06-08,1073.6
2023-06-09,1000.7
2023-06-10,1048.8
2023-06-11,1035.8
2023-06-12,1087.6
2023-06-13,1094.3
2023-06-14,950.3
2023-06-15,952.1
2023-06-16,614.3
2023-06-17,751.7
2023-06-18,476.1
2023-06-19,572.9
2023-06-20,838.0
2023-06-21,578.4
2023-06-22,1102.2
2023-06-23,741.5
2023-06-24,809.9
2023-06-25,1161.9
2023-06-26,943.4
2023-06-27,626.3
2023-06-28,1191.9
2023-06-29,730.8
2023-06-30,625.3
2023-07-01,587.2
2023-07-02,702.9
2023-07-03,577.1
2023-07-04,539.8
2023-07-05,676.1
2023-07-06,562.8
2023-07-07,966.2
2023-07-08,983.5
2023-07-09,1002.2
2023-07-10,622.9
2023-07-11,604.1
2023-07-12,567.1
2023-07-13,703.9
2023-07-14,914.6
2023-07-15,544.2
2023-07-16,699.8
2023-07-17,614.5
2023-07-18,849.9
2023-07-19,701.3
2023-07-20,681.3
2023-07-21,724.6
2023-07-22,511.4
2023-07-23,789.1
2023-07-24,560.3
2023-07-25,871.5
2023-07-26,733.4
2023-07-27,527.6
2023-07-28,602.6
2023-07-29,622.0
2023-07-30,704.8
2023-07-31,466.8
2023-08-01,460.2
2023-08-02,468.7
2023-08-03,404.9
2023-08-04,650.5
2023-08-05,428.6
2023-08-06,489.0
2023-08-07,517.2
2023-08-08,-999.0
2023-08-09,573.7
2023-08-10,439.7
2023-08-11,560.4
2023-08-12,492.9
2023-08-13,818.4
2023-08-14,509.6
2023-08-15,538.7
2023-08-16,507.4
2023-08-17,521.1
2023-08-18,433.3
2023-08-19,392.7
2023-08-20,405.5
2023-08-21,754.8
2023-08-22,696.8
2023-08-23,615.9
2023-08-24,621.6
2023-08-25,347.8
2023-08-26,323.4
2023-08-27,453.9
2023-08-28,450.1
2023-08-29,397.0
2023-08-30,380.1
2023-08-31,334.6
2023-09-01,302.6
2023-09-02,462.6
2023-09-03,314.9
2023-09-04,629.4
2023-09-05,659.7
2023-09-06,324.4
2023-09-07,511.3
2023-09-08,433.6
2023-09-09,480.3
2023-09-10,471.1
2023-09-11,456.9
2023-09-12,288.5
2023-09-13,292.3
2023-09-14,279.0
2023-09-15,314.8
2023-09-16,307.4
2023-09-17,232.8
2023-09-18,202.9
2023-09-19,264.3
2023-09-20,234.2
2023-09-21,401.8
2023-09-22,193.7
2023-09-23,202.9
2023-09-24,319.2
2023-09-25,201.9
2023-09-26,259.9
2023-09-27,170.7
2023-09-28,169.4
2023-09-29,136.4
2023-09-30,186.2
2023-10-01,283.3
2023-10-02,145.6
2023-10-03,124.2
2023-10-04,242.9
2023-10-05,154.0
2023-10-06,123.3
2023-10-07,178.8
2023-10-08,236.7
2023-10-09,194.6
2023-10-10,136.1
2023-10-11,131.7
2023-10-12,188.4
2023-10-13,102.8
2023-10-14,132.7
2023-10-15,122.3
2023-10-16,178.9
2023-10-17,121.5
2023-10-18,96.6
2023-10-19,115.3
2023-10-20,86.3
2023-10-21,75.8
2023-10-22,-999.0
2023-10-23,64.7
2023-10-24,59.0
2023-10-25,51.6
2023-10-26,48.7
2023-10-27,56.0
2023-10-28,43.5
2023-10-29,42.1
2023-10-30,38.2
2023-10-31,36.9
